Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
365 , 408.051 , 0.3 , 32.7 , 448.952 , 991.608 , 0.350511 , 120.062 , 115.995 , 
370 , 432.024 , 1 , 33.4 , 469.574 , 1051.27 , 0.350981 , 123.943 , 119.657 , 
375 , 397.936 , 2.7 , 33 , 475.402 , 956.076 , 0.346542 , 127.353 , 123.477 , 
380 , 367.632 , 1.3 , 32 , 482.296 , 860.7 , 0.337688 , 130.45 , 126.978 , 
385 , 369.686 , 2.6 , 32.2 , 495.993 , 851.987 , 0.332412 , 133.567 , 130.147 , 
390 , 381.221 , 2.4 , 32.1 , 514.364 , 872.421 , 0.330085 , 136.747 , 133.261 , 
395 , 396.893 , 1.6 , 31.8 , 535.405 , 904.028 , 0.328538 , 140.033 , 136.439 , 
400 , 407.344 , 0.7 , 32.2 , 554.006 , 922.132 , 0.326519 , 143.366 , 139.719 , 
405 , 404.07 , 0.8 , 32.3 , 569.784 , 902.182 , 0.322043 , 146.6 , 143.049 , 
410 , 398.467 , 1.6 , 33 , 583.291 , 874.379 , 0.316508 , 149.731 , 146.307 , 
415 , 419.014 , 1 , 33.2 , 605.929 , 913.205 , 0.314352 , 153.039 , 149.48 , 
420 , 418.611 , 1.4 , 32.4 , 630.567 , 936.66 , 0.322737 , 156.384 , 152.753 , 
425 , 419.237 , 2.2 , 32.5 , 650.318 , 930.687 , 0.3202 , 159.659 , 156.069 , 
430 , 370.805 , 0.6 , 32.2 , 656.559 , 790.196 , 0.307373 , 162.396 , 159.361 , 
435 , 364.989 , 1.9 , 32.2 , 672.014 , 759.002 , 0.299943 , 165.114 , 162.211 , 
440 , 395.501 , 2 , 32.1 , 698.75 , 829.786 , 0.302619 , 168.111 , 164.952 , 
445 , 411.444 , 1.1 , 32.5 , 721.945 , 864.687 , 0.303127 , 171.18 , 167.903 , 
450 , 419.229 , 2 , 32.6 , 744.505 , 874.544 , 0.30089 , 174.272 , 170.973 , 
455 , 418.245 , 0.7 , 32.1 , 766.589 , 858.312 , 0.296 , 177.293 , 174.069 , 
460 , 440.089 , 2.1 , 32.2 , 793.745 , 902.137 , 0.295671 , 180.503 , 177.13 , 
465 , 432.127 , 0.4 , 31.9 , 814.921 , 866.715 , 0.289295 , 183.524 , 180.299 , 
470 , 367.755 , 1.8 , 32.5 , 817.071 , 679.901 , 0.266664 , 185.82 , 183.3 , 
475 , 377.009 , 0.8 , 32.4 , 837.328 , 684.13 , 0.261736 , 188.265 , 185.739 , 
480 , 353.346 , 2.5 , 32.2 , 852.845 , 642.77 , 0.262381 , 190.484 , 188.118 , 
485 , 385.351 , 1.1 , 31.9 , 880.274 , 718.107 , 0.268788 , 193.011 , 190.377 , 
490 , 409.892 , 1.7 , 31.9 , 907.593 , 777.607 , 0.273633 , 195.743 , 192.902 , 
495 , 400.22 , 1.1 , 32.7 , 924.924 , 742.543 , 0.267608 , 198.303 , 195.6 , 
500 , 394.518 , 1.3 , 32.4 , 945.401 , 713.761 , 0.260953 , 200.783 , 198.195 , 
505 , 433.5 , 1.1 , 32.4 , 977.308 , 806.635 , 0.268389 , 203.644 , 200.731 , 
510 , 430.416 , 0.6 , 32 , 1001.45 , 786.288 , 0.263493 , 206.348 , 203.519 , 
515 , 444.254 , 2.2 , 32.4 , 1027.94 , 808.752 , 0.26258 , 209.171 , 206.272 , 
520 , 445.348 , 1 , 32.2 , 1053.48 , 796.121 , 0.257844 , 211.921 , 209.079 , 
525 , 433.401 , 1.1 , 32.1 , 1075.12 , 746.915 , 0.248575 , 214.487 , 211.831 , 
530 , 428.799 , 0.6 , 32.3 , 1096.81 , 716.943 , 0.241161 , 216.964 , 214.423 , 
535 , 424.417 , 3 , 32.9 , 1116.93 , 688.414 , 0.233956 , 219.336 , 216.905 , 
540 , 444.578 , 0.4 , 32 , 1151.21 , 768.01 , 0.24917 , 222.012 , 219.309 , 
545 , 403.556 , 1.1 , 32.3 , 1164.34 , 643.327 , 0.229935 , 224.122 , 221.865 , 
550 , 425.456 , 1.1 , 31.8 , 1193.59 , 688.771 , 0.233506 , 226.537 , 224.129 , 
555 , 346.734 , 0.9 , 31.9 , 1195.08 , 461.837 , 0.192118 , 228.019 , 226.408 , 
560 , 279.749 , 1.8 , 31.5 , 1193.23 , 263.239 , 0.135725 , 228.879 , 227.963 , 
565 , 278.147 , 0.5 , 31.5 , 1201.84 , 247.767 , 0.128483 , 229.761 , 228.899 , 
570 , 245.815 , 0.8 , 31.5 , 1201.33 , 153.334 , 0.0899718 , 230.245 , 229.712 , 
575 , 217.808 , 0.4 , 31.3733 , 1198.94 , 70.1935 , 0.0464837 , 230.46 , 230.216 , 
