Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
645 , 28.7289 , 0.8 , 29.6 , 1025.9 , -357.466 , 0 , 215.718 , 216.667 , 
650 , 25.2607 , 1.1 , 29.4733 , 1012.87 , -364.293 , 0 , 214.43 , 215.399 , 
655 , 21.3085 , 1.5 , 29.3467 , 999.883 , -369.009 , 0 , 213.125 , 214.108 , 
660 , 9.84404 , 1.5 , 29.22 , 985.605 , -387.87 , 0 , 211.758 , 212.794 , 
665 , 3.16288 , 0.9 , 29.0933 , 971.203 , -401.594 , 0 , 210.34 , 211.415 , 
670 , 3.21987 , 0.3 , 28.9667 , 957.795 , -399.608 , 0 , 208.923 , 209.995 , 
675 , 4.35668 , 0.4 , 28.84 , 945.075 , -391.822 , 0 , 207.533 , 208.586 , 
680 , 2.98876 , 1.1 , 28.7133 , 932.341 , -388.514 , 0 , 206.155 , 207.201 , 
685 , 3.01665 , 0.7 , 28.5867 , 919.927 , -383.959 , 0 , 204.792 , 205.827 , 
690 , 3.59053 , 0.3 , 28.46 , 907.92 , -377.663 , 0 , 203.449 , 204.47 , 
695 , 3.48318 , 0.4 , 28.3333 , 896.123 , -372.503 , 0 , 202.124 , 203.133 , 
700 , 3.78033 , 0.8 , 28.2067 , 884.612 , -367.072 , 0 , 200.818 , 201.814 , 
705 , 4.10799 , 1.1 , 28.08 , 873.388 , -361.471 , 0 , 199.53 , 200.513 , 
710 , 4.59056 , 0.9 , 27.9533 , 862.45 , -355.68 , 0 , 198.262 , 199.231 , 
715 , 10.0446 , 0.3 , 27.8267 , 852.602 , -340.619 , 0 , 197.043 , 197.972 , 
720 , 0 , 0.4 , 27.7 , 841.017 , -351.639 , 0 , 195.795 , 196.756 , 
730 , 0 , 0.4 , 27.7 , 841.017 , -351.639 , 0 , 195.795 , 196.756 , 
